removed_index,member_i,member_j,mechanisms_before,mechanisms_after,mechanisms_delta,stability_min_eig_before,stability_min_eig_after,stability_delta
0,0,1,0,1,1,-6.370738491049947e-16,-2.3516722942221346e-16,4.0190661968278126e-16
1,1,2,0,1,1,-6.370738491049947e-16,-4.496453236318251e-16,1.8742852547316966e-16
2,2,0,0,1,1,-6.370738491049947e-16,-4.377337936189055e-16,1.9934005548608923e-16
3,0,3,0,1,1,-6.370738491049947e-16,-2.2867596454871465e-16,4.0839788455628006e-16
4,1,3,0,1,1,-6.370738491049947e-16,-4.889373636705075e-16,1.4813648543448725e-16
5,2,3,0,1,1,-6.370738491049947e-16,-1.5955624103686278e-16,4.77517608068132e-16
