B,C,trial,stability_min_eig
3,24,4,-0.05315304123403167
4,4,0,-0.6202951482442352
4,4,1,-0.6222812444117548
4,4,2,-0.7676345300387843
4,4,3,-0.770611093586255
4,4,4,-0.5818004143319343
4,5,0,-0.6608023678597053
4,5,1,-0.692926559928239
4,5,2,-0.5812998737581816
4,5,3,-0.6396070671437402
4,5,4,-0.5861143235874191
4,6,0,-0.6006941806981269
4,6,1,-0.6113487276248519
4,6,2,-0.5235071025567712
4,6,3,-0.6030822021569932
4,6,4,-0.7324272863950342
4,7,0,-0.6644503818527435
4,7,1,-0.5098802668649335
4,7,2,-0.5537995753386591
4,7,3,-0.5026751263823523
4,7,4,-0.6922533868354561
4,8,0,-0.4561794905079102
4,8,1,-0.31061780901033537
4,8,2,-0.6280757355583703
4,8,3,-0.3970419517585203
4,8,4,-0.633099700808333
4,9,0,-0.4186065598734528
4,9,1,-0.3155877459496719
4,9,2,-0.6436212462809137
4,9,3,-0.3137827075280359
4,9,4,-0.5942319569973764
4,10,0,-0.48511186402412293
4,10,1,-0.3468625111996163
4,10,2,-0.5279383799356974
4,10,3,-0.4545154331388498
4,10,4,-0.5478034998837343
4,11,0,-0.37396820514691054
4,11,1,-0.34457956591791317
4,11,2,-0.37418068317070907
4,11,3,-0.427814339651105
4,11,4,-0.41384475831464873
4,12,0,-0.5390310601119057
4,12,1,-0.41375262684095737
4,12,2,-0.2602039765727467
4,12,3,-0.5453654624441874
4,12,4,-0.3235223061937702
4,13,0,-0.47840534271487856
4,13,1,-0.23556789725618862
4,13,2,-0.31405161860877223
4,13,3,-0.5154126065884281
4,13,4,-0.3317012642173593
4,14,0,-0.3046763607362595
4,14,1,-0.00486497711327756
4,14,2,-0.3359043748048912
4,14,3,-0.4273051858001406
4,14,4,-0.16339237304631335
4,15,0,-0.3384673335217181
4,15,1,-0.2524094391441653
4,15,2,-0.1583768541152403
4,15,3,-0.16464020036542318
4,15,4,-0.09464634765287182
4,16,0,-0.2555799666960368
4,16,1,-0.17616404242743156
4,16,2,-1.9347494985662664e-15
4,16,3,-0.24203623391969045
4,16,4,-0.15987763682800202
4,17,0,-0.07812868241159006
4,17,1,-0.5689514934443023
4,17,2,-0.2678253557365863
4,17,3,-0.3955077416419922
4,17,4,-0.16049496765258323
4,18,0,-0.29170357709984257
4,18,1,-0.17060454929833335
4,18,2,-0.08923733150762816
4,18,3,-0.07953053886774816
4,18,4,-2.319317318298553e-15
4,19,0,-0.05035859178621773
4,19,1,-2.446949258745642e-15
4,19,2,-0.035597527047929435
4,19,3,-1.3215650621597724e-15
4,19,4,-0.09928130543975017
4,20,0,-0.11793927792743984
4,20,1,-1.0810927816338125e-15
4,20,2,-1.5120596871128016e-15
4,20,3,-1.4373819144363018e-15
4,20,4,-1.4304566889233074e-15
4,21,0,-0.0438865930318067
4,21,1,-0.07461927625646021
4,21,2,-0.03462670554710515
4,21,3,-2.8501154468298696e-15
4,21,4,-1.1947214884855312e-15
4,22,0,-8.140144505085991e-16
4,22,1,-1.8099410109984756e-15
4,22,2,-8.081334625111274e-16
4,22,3,-0.26904988237039473
4,22,4,-7.528549732891085e-16
4,23,0,-1.0485363099171479e-15
4,23,1,-9.586658335558156e-16
4,23,2,-1.7643620073396358e-15
4,23,3,-7.588513871556013e-16
4,23,4,-1.5352872878855398e-15
4,24,0,-7.374628964847615e-16
4,24,1,-1.8404707199585063e-15
4,24,2,-0.011133308854945586
4,24,3,-1.9153286357989238e-15
4,24,4,-2.1806487383006894e-15
5,4,0,-0.6752207224470773
5,4,1,-0.6359004621527746
5,4,2,-0.8789531818798394
5,4,3,-0.8078996158160371
5,4,4,-0.6995446185490486
5,5,0,-0.843914436551521
5,5,1,-0.6840304627098095
5,5,2,-0.631323425340111
5,5,3,-0.5227962892169884
5,5,4,-0.6229771466553256
5,6,0,-0.5141114093173227
5,6,1,-0.6598936025116209
5,6,2,-0.440757386743801
5,6,3,-0.6642682176620444
5,6,4,-0.5597387873937343
5,7,0,-0.5895383118475817
5,7,1,-0.6832823911068553
5,7,2,-0.6258827434721106
5,7,3,-0.5901673864948674
5,7,4,-0.5010213336326804
5,8,0,-0.3224151354151797
5,8,1,-0.5678887600640409
5,8,2,-0.3368843197701245
5,8,3,-0.696004252050007
5,8,4,-0.5148390184172286
5,9,0,-0.732388905621163
5,9,1,-0.6877770363386903
5,9,2,-0.43890524127544955
